Date;Banque;Compte;Sens;Montant;Libelle;Detail
2025-06-30;CM;50155;Débit;7,99;PAIEMENT CB  2906 WWW.HP.COM;HPI INSTANT INK  CARTE 1605
2025-06-30;CM;50155;Débit;10,46;PAIEMENT PSC 2706 MANOSQUE;DELICE MARKET    CARTE 1605
2025-07-01;CM;50155;Crédit;649,95;LYF 78214818 28/06;LYFPAY LYF 78214818 28/06
2025-07-01;CM;50155;Débit;137,24;PRLV SEPA ALPES DETERGENTS;ALPES DETERGENTS ALPESDETERGENT 198320 ICS : FR29ZZZ551806 RUM : FC4298ESH
2025-07-01;CM;50155;Débit;346,80;PRLV SEPA CA;CA PAYMENT 2025-06-27 1990 PAYMENT 2025-06-27 AGRIFRPP822179 ICS : FR79ZZZ549257 RUM : 1990
2025-07-01;CM;50155;Débit;83,23;PRLV SEPA GRENKE LOCATION S.A.S;GRENKE LOCATION S.A.S. 0009 A 9 RUE DE LISBONNE CS6001 67300 SCHILTIGHEIM 07560237 CLIENT 01.07.25-31.07.25 PAIEMENT 0001195004 2552502048298411075602
2025-07-01;CM;50155;Crédit;111,70;REMCB00112 NB0002 TPE306718701;
2025-07-01;CM;50155;Crédit;169,30;REMCB00290 NB0003 TPE306718801;
2025-07-01;CM;50155;Crédit;519,23;REMCB00293 NB0018 TPE306718801;
2025-07-01;CM;50155;Crédit;158,10;REMCB00177 NB0002 TPE306718701;
2025-07-01;CM;50155;Débit;1,57;COMCB00177 NB0002 TPE306718701;
2025-07-01;CM;50155;Débit;2,91;COMCB00293 NB0018 TPE306718801;
2025-07-01;CM;50155;Débit;0,58;COMCB00290 NB0003 TPE306718801;
2025-07-01;CM;50155;Débit;0,45;COMCB00112 NB0002 TPE306718701;
2025-07-01;CM;50155;Débit;3865,67;PRLV SEPA FOODEX SAS;FOODEX SAS 25767267 25769212 25771382 25773437 PRLV00624/540000 ICS : FR06ZZZ429418 RUM : MPN03263
2025-07-01;CM;50155;Crédit;765,30;LYF 78584518 01/07;LYFPAY LYF 78584518 01/07
2025-07-01;CM;50155;Débit;150,00;PAIEMENT CB  2706 MANOSQUE;HC PNEUS 1       CARTE 1605
2025-07-02;BNP;0166420;Débit;195,30;*COMMISSIONS FACTURE NUMERO;
2025-07-02;CM;50155;Crédit;304,50;REMCB00291 NB0006 TPE306718801;
2025-07-02;CM;50155;Crédit;160,90;REMCB00113 NB0003 TPE306718701;
2025-07-02;CM;50155;Crédit;399,30;REMCB00294 NB0012 TPE306718801;
2025-07-02;CM;50155;Crédit;204,20;REMCB00178 NB0005 TPE306718701;
2025-07-02;CM;50155;Débit;1,10;COMCB00178 NB0005 TPE306718701;
2025-07-02;CM;50155;Débit;2,81;COMCB00294 NB0012 TPE306718801;
2025-07-02;CM;50155;Débit;1,38;COMCB00113 NB0003 TPE306718701;
