Date facture;Fournisseur;N° facture;TTC;Statut;Date banque;Détail banque
Date_facture;Fournisseur;N_facture;TTC;Statut;Date_banque;Detail_banque
31/10/2025;BULLETIN PAIE - HOSSAIN Sakhawat;;20,00;paie (-> VIR SALAIRE);;
31/10/2025;BULLETIN PAIE - LAOUADI Kyan;;;paie (-> VIR SALAIRE);;
31/10/2025;BULLETIN PAIE - ROFIK Khan;;;paie (-> VIR SALAIRE);;
31/10/2025;BULLETIN PAIE - NUR Hasan;;;paie (-> VIR SALAIRE);;
31/10/2025;BULLETIN PAIE - BALDE Aly;;;paie (-> VIR SALAIRE);;
31/10/2025;BULLETIN PAIE - AGYEMANG Aaron Gyamfi;;;paie (-> VIR SALAIRE);;
31/10/2025;BULLETIN PAIE - BAYATLI Aysu;;896,21;paie (-> VIR SALAIRE);;
30/11/2025;BULLETIN PAIE - HOSSAIN Sakhawat;;;paie (-> VIR SALAIRE);;
30/11/2025;BULLETIN PAIE - NUR Hasan;;;paie (-> VIR SALAIRE);;
30/11/2025;BULLETIN PAIE - LAOUADI Kyan;;;paie (-> VIR SALAIRE);;
30/11/2025;BULLETIN PAIE - AGYEMANG Aaron Gyamfi;;;paie (-> VIR SALAIRE);;
30/11/2025;BULLETIN PAIE - MESSAOUDENE Amine;;733,43;paie (-> VIR SALAIRE);;
30/11/2025;BULLETIN PAIE - BALDE Aly;;;paie (-> VIR SALAIRE);;
30/11/2025;BULLETIN PAIE - ROFIK Khan;;;paie (-> VIR SALAIRE);;
06/01/2026;BULLETIN PAIE - NUR Hasan;;;paie (-> VIR SALAIRE);;
06/01/2026;BULLETIN PAIE - HASAN Nur;;;paie (-> VIR SALAIRE);;
29/01/2026;GROUPE OTMANE INVESTISSEMENT;26/01/1944;;non trouvee;;
31/01/2026;BULLETIN PAIE - HASAN Mehidi;;;paie (-> VIR SALAIRE);;
31/01/2026;BULLETIN PAIE - BALDE ALY;;;paie (-> VIR SALAIRE);;
31/01/2026;BULLETIN PAIE - HOSSAIN Sakhawat;;;paie (-> VIR SALAIRE);;
31/01/2026;BULLETIN PAIE - AGYEMANG Aaron Gyamfi;;;paie (-> VIR SALAIRE);;
31/01/2026;BULLETIN PAIE - MESSAOUDENE Amine;;739,53;paie (-> VIR SALAIRE);;
31/01/2026;BULLETIN PAIE - LAOUADI Kyan;;;paie (-> VIR SALAIRE);;
05/02/2026;J'OCEANE SAS;F26-038202;347,29;rapprochee (n°);02/03/2026;2405.75
06/02/2026;ENGIE;520001822533;926,00;rapprochee (montant);23/02/2026;926.00
09/02/2026;SCI ROMI;;850,00;rapprochee (montant);05/02/2026;850.00
16/02/2026;Verisure;SDOT06356683;;non trouvee;;
21/02/2026;J'OCEANE SAS;F26-059737;658,50;rapprochee (n°);16/03/2026;2926.37
26/02/2026;EDF;10246610775;123,06;rapprochee (montant);13/03/2026;123.06
26/02/2026;J'OCEANE SAS;F26-063825;390,12;rapprochee (n°);16/03/2026;2926.37
27/02/2026;PAK Emballages;202680547;100,80;rapprochee (n°);27/03/2026;100.80
27/02/2026;PAK Emballages;202680546;806,50;rapprochee (n°);27/03/2026;806.50
27/02/2026;PAK Emballages;202680545;311,17;rapprochee (n°);27/03/2026;311.17
27/02/2026;PROVENCE FROID;PFFC052738;237,60;non trouvee;;
28/02/2026;Bimpli (Swile);2690007UCT;6,58;non trouvee;;
28/02/2026;BULLETIN PAIE - LAOUADI Kyan;;;paie (-> VIR SALAIRE);;
28/02/2026;BULLETIN PAIE - AGYEMANG Aaron Gyamfi;;;paie (-> VIR SALAIRE);;
28/02/2026;BULLETIN PAIE - BOLORMAA Bilguun;;;paie (-> VIR SALAIRE);;
28/02/2026;BULLETIN PAIE - BALDE Aly;;;paie (-> VIR SALAIRE);;
28/02/2026;BULLETIN PAIE - MESSAOUDENE Amine;;749,09;paie (-> VIR SALAIRE);;
28/02/2026;BULLETIN PAIE - HOSSAIN Sakhawat;;;paie (-> VIR SALAIRE);;
28/02/2026;BULLETIN PAIE - HASAN Mehidi;;;paie (-> VIR SALAIRE);;
01/03/2026;WALLBOX FRANCE SAS;EBRN202600038531;53,00;non trouvee;;
03/03/2026;FOODEX SAS;25853598;822,12;non trouvee;;
03/03/2026;J'OCEANE SAS;F26-069311;205,45;rapprochee (n°);31/03/2026;1536.81
03/03/2026;TA Provence Languedoc (Pomona);8481194589;260,34;rapprochee (groupe);20/03/2026;groupe 608.86
07/03/2026;ENGIE;220008934145;773,98;rapprochee (montant);23/03/2026;773.98
07/03/2026;J'OCEANE SAS;F26-075678;357,74;rapprochee (n°);31/03/2026;1536.81
07/03/2026;TA Provence Languedoc (Pomona);8481197593;162,92;rapprochee (groupe);20/03/2026;groupe 608.86
09/03/2026;CQFD EXPERTISE;25653;;non trouvee;;
09/03/2026;METRO France;0/0(146)0052/011188;435,55;rapprochee (montant);19/03/2026;435.55
10/03/2026;FOODEX SAS;25855715;908,03;non trouvee;;
10/03/2026;J'OCEANE SAS;F26-076902;388,86;rapprochee (n°);31/03/2026;1536.81
10/03/2026;SAS ESF - EAT SUSHI;F-2026030119;;non trouvee;;
